Tenth,Twelfth,CGPA,Internships,Projects,Aptitude,Soft skills,Leadership,Extracurricular,Certifications,Backlogs,DSA,Lang,Probability
79.97,60.04,,1,2,62.82,22.4,64.73,41.01,2,1,31.82,2,46.4
73.62,77.76,6.87,1,0,42.1,73.96,62.72,17.85,1,0,59.5,3,52.7
81.48,85.22,8.15,1,5,56.08,54.59,69.44,62.06,1,1,65.57,2,60.4
90.23,81.31,7.07,1,2,71.85,89.45,69.47,44.74,0,1,26.38,3,58.4
72.66,84.93,7.94,1,2,58.22,82.04,74.46,52.91,2,0,66.35,1,60.9
72.66,70.67,6.41,0,0,100,70.77,58.21,86.91,2,0,55.59,2,57.2
90.79,67.87,6.19,0,3,60.3,84.2,74.75,78.17,0,1,96.24,1,58.5
82.67,64.89,7.85,0,1,60.64,100,85.62,52.32,0,3,77.95,1,56.9
70.31,72.39,7.37,0,3,55.22,67.25,41.73,57.85,1,0,100,2,55.7
80.43,72.14,5.81,0,3,83.22,73.17,45.08,43.63,1,1,46.31,2,52.2
70.37,75.27,6.2,2,2,65.82,49.31,79.12,72.88,0,0,84.38,0,55.9
70.34,71.58,8.56,2,0,82.21,55.01,80.79,100,0,2,64.83,1,59.4
77.42,71.53,6.08,2,2,87.32,54.27,58.47,42.83,1,0,57.71,2,55.3
55.87,64.46,7.93,1,4,75.45,68.79,77.06,67.1,2,0,69.86,0,58.2
57.75,83.36,6.52,1,0,74.63,73.64,57.34,43.21,0,0,78.1,0,53
69.38,73.84,7,2,2,51.99,57.85,64.58,77.63,3,0,71.24,3,58.6
64.87,71.08,7.29,2,3,47.28,72.28,64.57,72.01,3,0,63.05,0,56.9
78.14,64.78,4.9,2,1,47.56,82.99,67.39,70.19,1,0,48.81,3,53.2
65.92,58.35,5.54,1,1,71.09,70.71,92.78,29.46,2,1,77.99,2,52.8
60.88,87.39,7.09,0,1,100,84.37,100,15.02,0,0,72.86,2,60.1
89.66,79.1,6.28,0,1,61.5,41.7,37.65,68.19,1,1,65.65,1,50.9
72.74,55.14,8,2,2,85.37,44.29,53.66,32.3,1,0,24.56,3,52.9
75.68,81.39,5.39,1,1,77.88,77.52,51.12,55.23,0,0,51.95,2,53.7
60.75,83.15,7.57,1,0,70.51,71.69,92.58,50.45,0,0,50.53,3,58
69.56,74.37,5.62,3,2,66.35,69.22,88.79,80.7,0,2,99.64,4,59.7
76.11,90.58,6.65,0,2,63.55,69.74,82.82,76.54,3,0,52.64,3,60.9
63.49,75.38,5.94,1,4,63.27,51.01,57.12,51.76,0,1,99.5,3,53.4
78.76,57.41,8.9,1,1,79.08,42.42,69.25,66.58,0,0,90.13,2,59.1
68.99,77.02,5.66,1,2,82.91,81.98,33.23,66.96,1,1,50.31,3,53.4
72.08,75.69,6.88,3,1,63.64,84.47,79.61,77.28,2,1,29.95,0,57.7
68.98,66.36,5.27,2,3,63.43,57.75,72.82,20.22,2,0,37.25,6,52.8
93.52,79.31,8.6,0,3,61.27,36.26,55.74,42.52,2,1,83.48,1,58
74.87,54.66,7.4,0,1,85,65.95,80.61,77.82,0,1,53.56,1,54.6
